timestamp,open,high,low,close,volume,vwap,session,regime
1704067200000,45000.00,45004.72,44935.98,44961.37,27,44990.72,london,high_vol
1704068100000,44961.37,44990.51,44892.85,44920.13,101,44959.73,asia,trending_down
1704069000000,44920.13,44926.51,44862.72,44884.49,439,44920.46,asia,trending_up
1704069900000,44884.49,44909.42,44823.77,44846.29,364,44882.97,gap,high_vol
1704070800000,44846.29,44856.26,44781.58,44805.01,26,44853.56,asia,ranging
1704071700000,44805.01,44849.87,44789.16,44820.17,259,44799.75,london,trending_down
1704072600000,44820.17,44892.32,44804.77,44866.46,374,44824.42,london,trending_down
1704073500000,44866.46,44891.36,44843.28,44847.68,316,44865.06,asia,trending_down
1704074400000,44847.68,44874.68,44829.38,44871.97,49,44841.46,london,trending_down
1704075300000,44871.97,44931.69,44854.63,44911.81,400,44878.38,london,trending_down
1704076200000,44911.81,44948.11,44888.44,44924.76,270,44912.59,london,trending_up
1704077100000,44924.76,44945.50,44903.69,44936.84,351,44934.25,gap,trending_up
1704078000000,44936.84,45008.27,44919.76,44983.70,352,44927.79,new_york,trending_up
1704078900000,44983.70,45025.60,44969.52,45016.32,219,44980.74,new_york,trending_down
1704079800000,45016.32,45053.51,45003.42,45050.26,494,45012.61,gap,high_vol
1704080700000,45050.26,45067.70,45034.35,45046.10,436,45059.33,new_york,ranging
1704081600000,45046.10,45069.69,45027.07,45029.00,97,45053.19,london,ranging
1704082500000,45029.00,45094.79,45026.84,45078.90,482,45031.28,asia,ranging
1704083400000,45078.90,45095.69,45034.06,45041.48,204,45077.87,gap,trending_up
1704084300000,45041.48,45055.77,44994.36,45003.69,485,45042.19,asia,trending_down
1704085200000,45003.69,45028.30,44993.63,45018.38,219,44996.59,asia,ranging
1704086100000,45018.38,45047.06,44956.75,44983.94,299,45016.25,london,trending_down
1704087000000,44983.94,44995.77,44969.77,44989.44,226,44990.86,asia,trending_down
1704087900000,44989.44,44997.25,44967.01,44981.83,206,44988.04,new_york,high_vol
1704088800000,44981.83,44990.43,44918.21,44944.78,428,44989.78,new_york,ranging
1704089700000,44944.78,45013.91,44927.94,44989.04,471,44948.29,london,trending_up
1704090600000,44989.04,45009.87,44987.15,45009.77,486,44987.22,london,trending_down
1704091500000,45009.77,45024.47,44963.86,44975.22,492,45008.17,new_york,ranging
1704092400000,44975.22,45002.47,44925.61,44927.26,172,44981.21,asia,trending_up
1704093300000,44927.26,44996.54,44923.24,44976.63,338,44923.66,new_york,trending_down
1704094200000,44976.63,44996.89,44935.73,44957.52,292,44973.35,asia,trending_up
1704095100000,44957.52,44979.68,44957.41,44977.07,186,44948.02,new_york,trending_up
1704096000000,44977.07,44993.23,44931.71,44951.56,221,44971.00,asia,trending_up
1704096900000,44951.56,45005.60,44937.20,44994.98,303,44953.71,new_york,trending_up
1704097800000,44994.98,45022.25,44967.98,45013.46,358,44997.21,asia,high_vol
1704098700000,45013.46,45039.45,44996.47,45035.50,390,45008.27,new_york,trending_down
1704099600000,45035.50,45061.77,44983.11,44987.58,286,45031.81,new_york,trending_up
1704100500000,44987.58,45012.29,44937.66,44940.77,243,44990.95,new_york,trending_down
1704101400000,44940.77,44964.22,44928.41,44960.44,50,44934.44,asia,ranging
1704102300000,44960.44,44965.73,44916.86,44917.93,356,44964.17,gap,ranging
1704103200000,44917.93,44953.67,44900.16,44937.54,162,44924.89,asia,high_vol
1704104100000,44937.54,45007.98,44933.04,44984.36,473,44936.27,london,ranging
1704105000000,44984.36,44998.26,44979.16,44997.38,191,44976.09,gap,ranging
1704105900000,44997.38,45055.02,44996.76,45025.11,305,44988.08,asia,trending_up
1704106800000,45025.11,45045.03,44977.11,44977.23,380,45021.21,gap,trending_up
1704107700000,44977.23,45020.48,44960.59,45010.68,253,44971.61,new_york,ranging
1704108600000,45010.68,45019.61,44951.85,44965.78,156,45016.73,asia,ranging
1704109500000,44965.78,45013.18,44952.65,44987.45,184,44970.60,asia,ranging
1704110400000,44987.45,45025.90,44986.54,44996.91,465,44993.25,asia,trending_up
1704111300000,44996.91,45052.63,44983.44,45044.41,44,44998.11,asia,trending_up
1704112200000,45044.41,45065.23,45000.29,45010.14,69,45036.65,new_york,high_vol
1704113100000,45010.14,45013.19,44959.45,44966.38,224,45012.30,asia,trending_up
